,trip_id,start_stop_id,arrival_time,arrival_hour,arrival_minute,stop_sequence_x,stop_lat,stop_lon,route_id,direction_id,speed_kmh,segment_max_speed_kmh,runtime_sec,end_stop_id,distance_m,next_lat,next_lon,congestion_level
6495,239-501-008-1077.2.21:231800-40-163_C4D1C647-B636-4310-9FFC-B04600FBA1F7,2076,1900-01-01 00:03:20.000000000,0,3,29,50.813904,7.163821,800501,0,17.0,17.0,120.0,2664,561.355023459961,50.814175,7.171759,3
6513,239-501-008-1077.2.21:231800-40-163_C4D1C647-B636-4310-9FFC-B04600FBA1F7,2076,1900-01-01 00:04:00.000000000,0,4,29,50.813904,7.163821,800501,1,18.0,18.0,120.0,2078,592.186652342763,50.814175,7.171759,3
5823,214018-214-003-5228.2.30:240000-13-63_1E4738C6-73BA-48A9-98E1-AFF201359713,3029,1900-01-01 00:04:00.000000000,0,4,3,51.031427,7.002159,300214,0,24.0,24.0,60.0,3030,402.729939820864,51.031249,7.008228,2
2122,119-510-008-1811.2.24:235400-15-1_C2E82FE8-0BC4-4DFE-9D79-AF560142FF7F,2254,1900-01-01 00:04:00.000000000,0,4,7,50.803422,7.220106,800510,0,26.0,27.0,120.0,2255,873.323094397669,50.807496,7.231024,2
8355,37-801-013-6058.2.22:233600-22-1_06E3FE31-6272-4C22-83AA-AF5501315C44,6138,1900-01-01 00:04:00.000000000,0,4,17,50.597138,6.784123,1300801,0,51.0,51.0,120.0,9025,1706.98295796989,50.585118,6.772161,0
5838,214018-214-003-5228.2.30:240000-13-63_1E4738C6-73BA-48A9-98E1-AFF201359713,7107,1900-01-01 00:05:00.000000000,0,5,5,51.032633,7.016513,300214,1,37.0,37.0,60.0,3257,617.951850196368,51.033891,7.022742,1
5824,214018-214-003-5228.2.30:240000-13-63_1E4738C6-73BA-48A9-98E1-AFF201359713,3028,1900-01-01 00:05:00.000000000,0,5,4,51.031249,7.008228,300214,0,26.0,26.0,60.0,3029,427.127735363329,51.032633,7.016513,2
2134,119-510-008-1811.2.24:235400-15-1_C2E82FE8-0BC4-4DFE-9D79-AF560142FF7F,2255,1900-01-01 00:05:00.000000000,0,5,8,50.807496,7.231024,800510,1,26.0,27.0,120.0,2254,873.323094397669,50.80703,7.235991,2
6496,239-501-008-1077.2.21:231800-40-163_C4D1C647-B636-4310-9FFC-B04600FBA1F7,2078,1900-01-01 00:05:20.000000000,0,5,30,50.814175,7.171759,800501,0,18.0,18.0,120.0,2076,591.823961599491,50.814289,7.176445,3
5839,214018-214-003-5228.2.30:240000-13-63_1E4738C6-73BA-48A9-98E1-AFF201359713,3257,1900-01-01 00:06:00.000000000,0,6,6,51.033891,7.022742,300214,1,34.0,34.0,60.0,3258,565.471235428731,51.035406,7.030445,1
6514,239-501-008-1077.2.21:231800-40-163_C4D1C647-B636-4310-9FFC-B04600FBA1F7,2078,1900-01-01 00:06:00.000000000,0,6,30,50.814175,7.171759,800501,1,20.0,20.0,60.0,2083,334.579338543894,50.814289,7.176445,3
2123,119-510-008-1811.2.24:235400-15-1_C2E82FE8-0BC4-4DFE-9D79-AF560142FF7F,2255,1900-01-01 00:06:00.000000000,0,6,8,50.807496,7.231024,800510,0,24.0,24.0,60.0,2256,397.677038275873,50.80703,7.235991,2
5825,214018-214-003-5228.2.30:240000-13-63_1E4738C6-73BA-48A9-98E1-AFF201359713,7107,1900-01-01 00:06:00.000000000,0,6,5,51.032633,7.016513,300214,0,36.0,36.0,60.0,3028,600.114807824628,51.033891,7.022742,1
8356,37-801-013-6058.2.22:233600-22-1_06E3FE31-6272-4C22-83AA-AF5501315C44,9025,1900-01-01 00:06:00.000000000,0,6,18,50.585118,6.772161,1300801,0,19.0,19.0,60.0,6137,308.913611368402,50.583034,6.769162,3
2135,119-510-008-1811.2.24:235400-15-1_C2E82FE8-0BC4-4DFE-9D79-AF560142FF7F,2256,1900-01-01 00:07:00.000000000,0,7,9,50.80703,7.235991,800510,1,12.0,24.0,120.0,2255,397.677038275873,50.806793,7.248129,4
8357,37-801-013-6058.2.22:233600-22-1_06E3FE31-6272-4C22-83AA-AF5501315C44,6137,1900-01-01 00:07:00.000000000,0,7,19,50.583034,6.769162,1300801,0,26.0,26.0,60.0,6136,427.5142980206,50.579053,6.770339,2
5826,214018-214-003-5228.2.30:240000-13-63_1E4738C6-73BA-48A9-98E1-AFF201359713,3257,1900-01-01 00:07:00.000000000,0,7,6,51.033891,7.022742,300214,0,29.0,29.0,60.0,7107,482.936143515718,51.035406,7.030445,2
6515,239-501-008-1077.2.21:231800-40-163_C4D1C647-B636-4310-9FFC-B04600FBA1F7,2083,1900-01-01 00:07:00.000000000,0,7,31,50.814289,7.176445,800501,1,24.0,24.0,60.0,2098,401.283735979941,50.812709,7.18157,2
2124,119-510-008-1811.2.24:235400-15-1_C2E82FE8-0BC4-4DFE-9D79-AF560142FF7F,2256,1900-01-01 00:07:00.000000000,0,7,9,50.80703,7.235991,800510,0,40.3,51.0,85.7142857142857,2257,855.80809526491,50.806793,7.248129,0
15437,87-4-001-262.1.11:240700-25-261_B11E7B4B-10FB-4405-8BE1-B04600BEBB57,262,1900-01-01 00:07:00.000000000,0,7,1,50.956736,6.903,100004,1,45.0,45.0,60.0,264,749.868197064094,50.954426,6.909943,0
5840,214018-214-003-5228.2.30:240000-13-63_1E4738C6-73BA-48A9-98E1-AFF201359713,3258,1900-01-01 00:07:00.000000000,0,7,7,51.035406,7.030445,300214,1,23.0,23.0,120.0,3034,761.183017982141,51.041004,7.031682,2
15413,87-4-001-262.1.11:240700-25-261_B11E7B4B-10FB-4405-8BE1-B04600BEBB57,262,1900-01-01 00:07:00.000000000,0,7,1,50.956736,6.903,100004,0,33.0,33.0,60.0,255,550.355710650285,50.954426,6.909943,1
6497,239-501-008-1077.2.21:231800-40-163_C4D1C647-B636-4310-9FFC-B04600FBA1F7,2083,1900-01-01 00:07:20.000000000,0,7,31,50.814289,7.176445,800501,0,20.0,20.0,60.0,2078,333.660138231495,50.812709,7.18157,3
8358,37-801-013-6058.2.22:233600-22-1_06E3FE31-6272-4C22-83AA-AF5501315C44,6136,1900-01-01 00:08:00.000000000,0,8,20,50.579053,6.770339,1300801,0,42.0,42.0,120.0,6135,1405.9841482699,50.567772,6.763352,0
6516,239-501-008-1077.2.21:231800-40-163_C4D1C647-B636-4310-9FFC-B04600FBA1F7,2098,1900-01-01 00:08:00.000000000,0,8,32,50.812709,7.18157,800501,1,20.0,20.0,120.0,2099,663.294171425283,50.810134,7.189989,3
5827,214018-214-003-5228.2.30:240000-13-63_1E4738C6-73BA-48A9-98E1-AFF201359713,3258,1900-01-01 00:08:00.000000000,0,8,7,51.035406,7.030445,300214,0,34.0,34.0,60.0,3257,568.910514872698,51.041004,7.031682,1
15438,87-4-001-262.1.11:240700-25-261_B11E7B4B-10FB-4405-8BE1-B04600BEBB57,255,1900-01-01 00:08:00.000000000,0,8,2,50.954426,6.909943,100004,1,33.0,33.0,60.0,262,552.069323030539,50.950166,6.916705,1
15414,87-4-001-262.1.11:240700-25-261_B11E7B4B-10FB-4405-8BE1-B04600BEBB57,255,1900-01-01 00:08:00.000000000,0,8,2,50.954426,6.909943,100004,0,40.0,40.0,60.0,251,671.468651519231,50.950166,6.916705,1
6498,239-501-008-1077.2.21:231800-40-163_C4D1C647-B636-4310-9FFC-B04600FBA1F7,2098,1900-01-01 00:08:20.000000000,0,8,32,50.812709,7.18157,800501,0,24.0,24.0,60.0,2083,401.283735979941,50.810134,7.189989,2
2125,119-510-008-1811.2.24:235400-15-1_C2E82FE8-0BC4-4DFE-9D79-AF560142FF7F,2257,1900-01-01 00:08:25.714285714,0,8,10,50.806793,7.248129,800510,0,24.0,24.0,60.0,2258,395.184121158587,50.807656,7.252295,2
5828,214018-214-003-5228.2.30:240000-13-63_1E4738C6-73BA-48A9-98E1-AFF201359713,3034,1900-01-01 00:09:00.000000000,0,9,8,51.041004,7.031682,300214,0,46.0,46.0,60.0,3258,760.655086987196,51.043883,7.02627,0
15439,87-4-001-262.1.11:240700-25-261_B11E7B4B-10FB-4405-8BE1-B04600BEBB57,251,1900-01-01 00:09:00.000000000,0,9,3,50.950166,6.916705,100004,1,33.3,40.0,80.0,255,671.773088703225,50.948295,6.920311,1
5841,214018-214-003-5228.2.30:240000-13-63_1E4738C6-73BA-48A9-98E1-AFF201359713,3034,1900-01-01 00:09:00.000000000,0,9,8,51.041004,7.031682,300214,1,31.0,31.0,60.0,3035,509.472658963371,51.043883,7.02627,1
2136,119-510-008-1811.2.24:235400-15-1_C2E82FE8-0BC4-4DFE-9D79-AF560142FF7F,2257,1900-01-01 00:09:00.000000000,0,9,10,50.806793,7.248129,800510,1,51.0,51.0,60.0,2256,855.80809526491,50.807656,7.252295,0
15415,87-4-001-262.1.11:240700-25-261_B11E7B4B-10FB-4405-8BE1-B04600BEBB57,251,1900-01-01 00:09:00.000000000,0,9,3,50.950166,6.916705,100004,0,20.0,20.0,60.0,237,328.537803060046,50.948295,6.920311,3
6499,239-501-008-1077.2.21:231800-40-163_C4D1C647-B636-4310-9FFC-B04600FBA1F7,2099,1900-01-01 00:09:20.000000000,0,9,33,50.810134,7.189989,800501,0,20.0,20.0,120.0,2098,663.294171425283,50.807305,7.195876,3
2126,119-510-008-1811.2.24:235400-15-1_C2E82FE8-0BC4-4DFE-9D79-AF560142FF7F,2258,1900-01-01 00:09:25.714285714,0,9,11,50.807656,7.252295,800510,0,17.0,17.0,120.0,2259,561.324745364873,50.804276,7.255609,3
15416,87-4-001-262.1.11:240700-25-261_B11E7B4B-10FB-4405-8BE1-B04600BEBB57,237,1900-01-01 00:10:00.000000000,0,10,4,50.948295,6.920311,100004,0,28.0,28.0,60.0,236,462.189492317665,50.945995,6.925787,2
5829,214018-214-003-5228.2.30:240000-13-63_1E4738C6-73BA-48A9-98E1-AFF201359713,3035,1900-01-01 00:10:00.000000000,0,10,9,51.043883,7.02627,300214,0,31.0,31.0,60.0,3034,509.472658963371,51.044356,7.023671,1
8359,37-801-013-6058.2.22:233600-22-1_06E3FE31-6272-4C22-83AA-AF5501315C44,6135,1900-01-01 00:10:00.000000000,0,10,21,50.567772,6.763352,1300801,0,24.0,24.0,180.0,6099,1202.47935710007,50.567772,6.763352,2
6517,239-501-008-1077.2.21:231800-40-163_C4D1C647-B636-4310-9FFC-B04600FBA1F7,2099,1900-01-01 00:10:00.000000000,0,10,33,50.810134,7.189989,800501,1,31.0,31.0,60.0,2650,521.125797896234,50.807305,7.195876,1
5843,214018-214-003-5228.2.30:240000-13-63_1E4738C6-73BA-48A9-98E1-AFF201359713,3036,1900-01-01 00:10:00.000000000,0,10,10,51.044356,7.023671,300214,1,13.0,13.0,60.0,3126,221.666906054973,51.045216,7.020867,4
5842,214018-214-003-5228.2.30:240000-13-63_1E4738C6-73BA-48A9-98E1-AFF201359713,3035,1900-01-01 00:10:00.000000000,0,10,9,51.043883,7.02627,300214,1,24.3,24.2752987344503,0.0,3036,190.418072472237,51.044356,7.023671,2
2137,119-510-008-1811.2.24:235400-15-1_C2E82FE8-0BC4-4DFE-9D79-AF560142FF7F,2258,1900-01-01 00:10:00.000000000,0,10,11,50.807656,7.252295,800510,1,24.0,24.0,60.0,2257,395.184121158587,50.804276,7.255609,2
15440,87-4-001-262.1.11:240700-25-261_B11E7B4B-10FB-4405-8BE1-B04600BEBB57,237,1900-01-01 00:10:20.000000000,0,10,4,50.948295,6.920311,100004,1,20.0,20.0,60.0,251,328.391960634846,50.945995,6.925787,3
5844,214018-214-003-5228.2.30:240000-13-63_1E4738C6-73BA-48A9-98E1-AFF201359713,3126,1900-01-01 00:11:00.000000000,0,11,11,51.045216,7.020867,300214,1,39.0,39.0,60.0,3037,655.755365810297,51.04977,7.015134,1
5830,214018-214-003-5228.2.30:240000-13-63_1E4738C6-73BA-48A9-98E1-AFF201359713,3036,1900-01-01 00:11:00.000000000,0,11,10,51.044356,7.023671,300214,0,11.0,24.2752987344503,60.0,3035,190.418072472237,51.045216,7.020867,4
2138,119-510-008-1811.2.24:235400-15-1_C2E82FE8-0BC4-4DFE-9D79-AF560142FF7F,2259,1900-01-01 00:11:00.000000000,0,11,12,50.804276,7.255609,800510,1,17.0,17.0,120.0,2258,561.324745364873,50.802548,7.259195,3
15417,87-4-001-262.1.11:240700-25-261_B11E7B4B-10FB-4405-8BE1-B04600BEBB57,236,1900-01-01 00:11:00.000000000,0,11,5,50.945995,6.925787,100004,0,19.0,19.0,120.0,867,632.577021625739,50.943227,6.9336,3
6518,239-501-008-1077.2.21:231800-40-163_C4D1C647-B636-4310-9FFC-B04600FBA1F7,2650,1900-01-01 00:11:00.000000000,0,11,34,50.807305,7.195876,800501,1,18.0,18.0,60.0,2100,299.108181855019,50.805519,7.199037,3
6500,239-501-008-1077.2.21:231800-40-163_C4D1C647-B636-4310-9FFC-B04600FBA1F7,2650,1900-01-01 00:11:20.000000000,0,11,34,50.807305,7.195876,800501,0,31.0,31.0,60.0,2099,521.125797896234,50.805519,7.199037,1
15441,87-4-001-262.1.11:240700-25-261_B11E7B4B-10FB-4405-8BE1-B04600BEBB57,236,1900-01-01 00:11:20.000000000,0,11,5,50.945995,6.925787,100004,1,28.0,28.0,60.0,237,462.189492317665,50.943227,6.9336,2
2127,119-510-008-1811.2.24:235400-15-1_C2E82FE8-0BC4-4DFE-9D79-AF560142FF7F,2259,1900-01-01 00:11:25.714285714,0,11,12,50.804276,7.255609,800510,0,19.0,19.0,60.0,2260,318.55377445671,50.802548,7.259195,3
6519,239-501-008-1077.2.21:231800-40-163_C4D1C647-B636-4310-9FFC-B04600FBA1F7,2100,1900-01-01 00:12:00.000000000,0,12,35,50.805519,7.199037,800501,1,19.0,19.0,60.0,2101,308.387789790728,50.804151,7.20269,3
5845,214018-214-003-5228.2.30:240000-13-63_1E4738C6-73BA-48A9-98E1-AFF201359713,3037,1900-01-01 00:12:00.000000000,0,12,12,51.04977,7.015134,300214,1,16.0,24.2752987344503,60.0,3038,270.821859132056,51.04977,7.015134,3
5831,214018-214-003-5228.2.30:240000-13-63_1E4738C6-73BA-48A9-98E1-AFF201359713,3126,1900-01-01 00:12:00.000000000,0,12,11,51.045216,7.020867,300214,0,13.0,13.0,60.0,3036,221.666906054973,51.04977,7.015134,4
3957,198001-283-003-5228.2.24:241000-57-63_DD22CDB4-0754-44D3-B290-AFF2013ADF6B,7904,1900-01-01 00:12:00.000000000,0,12,3,51.033592,6.986467,300283,0,15.0,15.0,60.0,3174,244.398636151812,51.047829,6.981408,4
6501,239-501-008-1077.2.21:231800-40-163_C4D1C647-B636-4310-9FFC-B04600FBA1F7,2100,1900-01-01 00:12:20.000000000,0,12,35,50.805519,7.199037,800501,0,18.0,18.0,60.0,2650,299.108181855019,50.804151,7.20269,3
15442,87-4-001-262.1.11:240700-25-261_B11E7B4B-10FB-4405-8BE1-B04600BEBB57,867,1900-01-01 00:12:20.000000000,0,12,6,50.943227,6.9336,100004,1,31.7,38.0,80.0,236,632.577021625739,50.940533,6.939977,1
2128,119-510-008-1811.2.24:235400-15-1_C2E82FE8-0BC4-4DFE-9D79-AF560142FF7F,2260,1900-01-01 00:12:25.714285714,0,12,13,50.802548,7.259195,800510,0,26.7,34.0,85.7142857142857,2261,573.915284693392,50.799314,7.265576,2
6520,239-501-008-1077.2.21:231800-40-163_C4D1C647-B636-4310-9FFC-B04600FBA1F7,2101,1900-01-01 00:13:00.000000000,0,13,36,50.804151,7.20269,800501,1,22.0,22.0,60.0,2102,367.478978448861,50.801683,7.205748,2
15418,87-4-001-262.1.11:240700-25-261_B11E7B4B-10FB-4405-8BE1-B04600BEBB57,867,1900-01-01 00:13:00.000000000,0,13,6,50.943227,6.9336,100004,0,33.0,33.0,60.0,30,548.148892963775,50.940533,6.939977,1
2139,119-510-008-1811.2.24:235400-15-1_C2E82FE8-0BC4-4DFE-9D79-AF560142FF7F,2260,1900-01-01 00:13:00.000000000,0,13,13,50.802548,7.259195,800510,1,19.0,19.0,60.0,2259,318.55377445671,50.799314,7.265576,3
5832,214018-214-003-5228.2.30:240000-13-63_1E4738C6-73BA-48A9-98E1-AFF201359713,3037,1900-01-01 00:13:00.000000000,0,13,12,51.04977,7.015134,300214,0,39.0,39.0,60.0,3126,655.755365810297,51.05204,7.015569,1
3958,198001-283-003-5228.2.24:241000-57-63_DD22CDB4-0754-44D3-B290-AFF2013ADF6B,3195,1900-01-01 00:13:00.000000000,0,13,11,51.047829,6.981408,300283,0,8.0,9.0,60.0,3196,133.271614661503,51.04999,6.978773,4
6502,239-501-008-1077.2.21:231800-40-163_C4D1C647-B636-4310-9FFC-B04600FBA1F7,2101,1900-01-01 00:13:20.000000000,0,13,36,50.804151,7.20269,800501,0,19.0,19.0,60.0,2100,308.387789790728,50.801683,7.205748,3
15443,87-4-001-262.1.11:240700-25-261_B11E7B4B-10FB-4405-8BE1-B04600BEBB57,30,1900-01-01 00:13:40.000000000,0,13,7,50.940533,6.939977,100004,1,19.7,33.0,123.333333333333,867,548.148892963775,50.939972,6.950437,2
2129,119-510-008-1811.2.24:235400-15-1_C2E82FE8-0BC4-4DFE-9D79-AF560142FF7F,2261,1900-01-01 00:13:51.428571428,0,13,14,50.799314,7.265576,800510,0,36.7,47.0,85.7142857142857,2262,779.457681644001,50.795076,7.274156,1
15419,87-4-001-262.1.11:240700-25-261_B11E7B4B-10FB-4405-8BE1-B04600BEBB57,30,1900-01-01 00:14:00.000000000,0,14,7,50.940533,6.939977,100004,0,19.8,26.0,161.538461538462,7,853.710690349878,50.939972,6.950437,2
2140,119-510-008-1811.2.24:235400-15-1_C2E82FE8-0BC4-4DFE-9D79-AF560142FF7F,2261,1900-01-01 00:14:00.000000000,0,14,14,50.799314,7.265576,800510,1,17.0,17.0,120.0,2260,573.915284693392,50.795076,7.274156,3
6521,239-501-008-1077.2.21:231800-40-163_C4D1C647-B636-4310-9FFC-B04600FBA1F7,2102,1900-01-01 00:14:00.000000000,0,14,37,50.801683,7.205748,800501,1,12.0,12.0,120.0,8758,400.51047351515,50.800531,7.202441,4
3959,198001-283-003-5228.2.24:241000-57-63_DD22CDB4-0754-44D3-B290-AFF2013ADF6B,3159,1900-01-01 00:14:00.000000000,0,14,12,51.04999,6.978773,300283,0,18.0,23.0,60.0,3195,303.295278895479,51.051947,6.952957,3
5833,214018-214-003-5228.2.30:240000-13-63_1E4738C6-73BA-48A9-98E1-AFF201359713,3038,1900-01-01 00:14:00.000000000,0,14,13,51.05204,7.015569,300214,0,24.3,24.2752987344503,0.0,3037,270.821859132056,51.05204,7.015569,2
6503,239-501-008-1077.2.21:231800-40-163_C4D1C647-B636-4310-9FFC-B04600FBA1F7,2102,1900-01-01 00:14:20.000000000,0,14,37,50.801683,7.205748,800501,0,22.0,22.0,60.0,2101,364.032225363767,50.800531,7.202441,2
3960,198001-283-003-5228.2.24:241000-57-63_DD22CDB4-0754-44D3-B290-AFF2013ADF6B,7775,1900-01-01 00:15:00.000000000,0,15,15,51.051947,6.952957,300283,0,19.0,24.2752987344503,60.0,7753,321.021610420596,51.05483,6.953359,3
2130,119-510-008-1811.2.24:235400-15-1_C2E82FE8-0BC4-4DFE-9D79-AF560142FF7F,2262,1900-01-01 00:15:17.142857142,0,15,15,50.795076,7.274156,800510,0,62.0,62.0,60.0,5055,1029.88874001646,50.795076,7.274156,0
6504,239-501-008-1077.2.21:231800-40-163_C4D1C647-B636-4310-9FFC-B04600FBA1F7,8758,1900-01-01 00:15:20.000000000,0,15,38,50.800531,7.202441,800501,0,21.0,21.0,60.0,4969,349.235835053157,50.796896,7.202745,2
15444,87-4-001-262.1.11:240700-25-261_B11E7B4B-10FB-4405-8BE1-B04600BEBB57,7,1900-01-01 00:15:43.333333333,0,15,8,50.939972,6.950437,100004,1,26.0,26.0,120.0,30,854.490640538409,50.93577,6.947677,2
6522,239-501-008-1077.2.21:231800-40-163_C4D1C647-B636-4310-9FFC-B04600FBA1F7,8758,1900-01-01 00:16:00.000000000,0,16,38,50.800531,7.202441,800501,1,29.0,29.0,60.0,2103,478.543494977618,50.796896,7.202745,2
2141,119-510-008-1811.2.24:235400-15-1_C2E82FE8-0BC4-4DFE-9D79-AF560142FF7F,2262,1900-01-01 00:16:00.000000000,0,16,15,50.795076,7.274156,800510,1,23.0,47.0,120.0,2261,779.583446880225,50.795076,7.274156,2
3961,198001-283-003-5228.2.24:241000-57-63_DD22CDB4-0754-44D3-B290-AFF2013ADF6B,7753,1900-01-01 00:16:00.000000000,0,16,16,51.05483,6.953359,300283,0,30.0,30.0,60.0,3166,494.30730956157,51.068945,6.947471,2
6505,239-501-008-1077.2.21:231800-40-163_C4D1C647-B636-4310-9FFC-B04600FBA1F7,2103,1900-01-01 00:16:20.000000000,0,16,39,50.796896,7.202745,800501,0,29.0,29.0,60.0,8758,478.543494977618,50.793908,7.203023,2
15420,87-4-001-262.1.11:240700-25-261_B11E7B4B-10FB-4405-8BE1-B04600BEBB57,7,1900-01-01 00:16:41.538461538,0,16,8,50.939972,6.950437,100004,0,15.0,15.0,120.0,2,510.497461943394,50.93577,6.947677,4
6523,239-501-008-1077.2.21:231800-40-163_C4D1C647-B636-4310-9FFC-B04600FBA1F7,2103,1900-01-01 00:17:00.000000000,0,17,39,50.796896,7.202745,800501,1,8.0,10.0,150.0,1811,321.904654666259,50.813915,7.150895,4
3962,198001-283-003-5228.2.24:241000-57-63_DD22CDB4-0754-44D3-B290-AFF2013ADF6B,3170,1900-01-01 00:17:00.000000000,0,17,21,51.068945,6.947471,300283,0,26.0,31.0,60.0,3169,434.309484766841,51.059211,6.951766,2
2883,142003-482-003-5208.2.22:241500-45-63_73AAE156-3A52-4B68-AD28-AF6D0110E8D8,3314,1900-01-01 00:17:00.000000000,0,17,2,50.991588,7.12999,300482,0,12.0,12.0,120.0,3305,396.875962749867,50.991088,7.133425,4
6506,239-501-008-1077.2.21:231800-40-163_C4D1C647-B636-4310-9FFC-B04600FBA1F7,1811,1900-01-01 00:17:20.000000000,0,17,40,50.793908,7.203023,800501,0,6.0,6.0,180.0,2103,321.904654666259,50.813915,7.150895,4
15445,87-4-001-262.1.11:240700-25-261_B11E7B4B-10FB-4405-8BE1-B04600BEBB57,2,1900-01-01 00:17:43.333333333,0,17,9,50.93577,6.947677,100004,1,15.0,15.0,120.0,7,510.497461943394,50.931238,6.95006,4
3963,198001-283-003-5228.2.24:241000-57-63_DD22CDB4-0754-44D3-B290-AFF2013ADF6B,3165,1900-01-01 00:18:00.000000000,0,18,26,51.059211,6.951766,300283,0,17.0,17.0,60.0,3164,284.803614760483,51.062091,6.921041,3
